,buying,maint,doors,persons,lug_boot,safety,predict
0,low,vhigh,3,more,med,med,unacc
1,vhigh,high,2,more,small,high,acc
2,vhigh,med,5more,4,med,high,unacc
3,med,med,5more,4,small,med,unacc
4,high,med,4,4,small,high,unacc
5,med,vhigh,5more,more,big,med,unacc
6,med,low,3,more,small,med,unacc
7,low,low,4,2,big,low,acc
8,low,med,2,more,small,high,acc
9,low,vhigh,4,more,small,high,unacc
10,low,med,3,more,small,low,acc
11,med,med,5more,2,med,high,acc
12,med,med,2,2,med,med,acc
13,med,med,4,2,small,low,acc
14,high,high,4,4,big,low,acc
15,high,vhigh,5more,4,big,high,acc
16,med,vhigh,4,4,small,low,acc
17,vhigh,vhigh,5more,2,med,med,acc
18,low,vhigh,3,4,small,high,unacc
19,vhigh,med,4,more,big,high,unacc
20,med,vhigh,2,more,small,med,acc
21,high,high,3,more,big,high,unacc
22,med,vhigh,4,2,big,low,acc
23,med,low,2,more,big,low,acc
24,med,med,2,2,med,low,acc
25,high,high,4,more,big,med,unacc
26,low,low,3,2,small,med,acc
27,vhigh,med,3,4,big,low,acc
28,med,vhigh,3,2,small,med,acc
29,low,med,5more,2,big,low,acc
30,med,high,3,more,small,med,acc
31,high,low,2,2,med,low,acc
32,low,vhigh,3,more,small,high,unacc
33,vhigh,vhigh,2,more,small,high,acc
34,med,high,5more,more,med,med,unacc
35,vhigh,vhigh,3,2,big,med,acc
36,vhigh,high,5more,4,small,high,acc
37,med,med,5more,4,med,med,unacc
38,vhigh,high,2,2,big,high,acc
39,high,med,3,2,big,med,acc
40,vhigh,high,3,more,small,low,acc
41,high,med,4,more,med,low,acc
42,med,low,4,2,small,low,acc
43,vhigh,high,4,4,med,high,acc
44,high,high,3,2,med,med,acc
45,vhigh,high,2,more,med,med,acc
46,high,med,4,2,med,low,acc
47,low,med,2,2,big,low,acc
48,med,med,3,4,big,med,unacc
49,med,low,4,2,small,high,acc
50,low,high,4,more,small,high,unacc
51,med,vhigh,5more,4,med,low,acc
52,vhigh,med,5more,2,med,low,acc
53,med,high,3,2,small,low,acc
54,vhigh,high,4,2,big,med,acc
55,high,vhigh,3,more,med,low,acc
56,vhigh,high,4,more,small,med,acc
57,high,vhigh,3,4,small,med,acc
58,high,high,3,4,small,low,acc
59,vhigh,high,3,2,big,high,acc
60,low,high,2,4,med,high,unacc
61,high,low,3,4,big,high,unacc
62,vhigh,high,5more,4,big,med,acc
63,med,vhigh,2,2,big,high,acc
64,high,low,4,2,med,med,acc
65,low,high,4,4,small,high,unacc
66,low,med,4,more,big,low,acc
67,low,med,5more,2,small,high,acc
68,vhigh,high,2,more,small,low,acc
69,med,high,2,4,big,med,unacc
70,high,vhigh,5more,4,big,low,acc
71,low,high,3,2,small,low,acc
72,high,vhigh,5more,2,med,high,acc
73,vhigh,high,5more,2,big,low,acc
74,med,low,5more,4,med,low,acc
75,low,vhigh,2,4,small,med,acc
76,vhigh,high,3,more,small,high,acc
77,high,vhigh,5more,2,small,med,acc
78,low,high,4,more,small,low,acc
79,high,vhigh,2,more,big,med,acc
80,high,high,4,2,big,high,acc
81,vhigh,med,3,more,small,high,unacc
82,high,med,2,4,big,high,unacc
83,low,high,2,more,med,med,unacc
84,high,low,3,4,big,med,unacc
85,low,med,5more,more,med,low,acc
86,med,low,4,2,med,med,acc
87,low,vhigh,5more,4,small,low,acc
88,med,med,5more,4,big,low,acc
89,vhigh,med,3,more,small,low,acc
90,vhigh,med,5more,2,med,high,acc
91,low,vhigh,2,4,big,low,acc
92,vhigh,high,5more,more,med,low,acc
93,med,high,4,4,med,low,acc
94,low,low,2,2,med,med,acc
95,high,high,2,2,big,med,acc
96,low,vhigh,3,2,med,med,acc
97,high,med,2,more,big,med,unacc
98,low,vhigh,2,2,med,med,acc
99,high,med,2,2,small,high,acc
100,med,high,4,4,med,high,unacc
101,vhigh,high,3,4,big,high,acc
102,med,high,3,2,big,low,acc
103,med,low,4,2,med,low,acc
104,vhigh,high,4,more,big,high,acc
105,vhigh,low,5more,more,big,med,unacc
106,low,high,4,2,big,low,acc
107,med,low,2,2,small,high,acc
108,low,vhigh,3,4,med,low,acc
109,low,high,5more,2,med,med,acc
110,vhigh,vhigh,4,2,small,med,acc
111,high,low,4,4,small,low,acc
112,med,high,2,more,big,low,acc
113,low,vhigh,2,2,med,high,acc
114,med,vhigh,2,2,med,low,acc
115,high,vhigh,5more,2,small,low,acc
116,high,low,4,2,small,low,acc
117,med,vhigh,3,4,med,low,acc
118,high,vhigh,5more,more,med,low,acc
119,high,high,4,2,small,high,acc
120,vhigh,high,5more,2,big,med,acc
121,vhigh,vhigh,2,more,med,high,acc
122,vhigh,vhigh,4,more,big,low,acc
123,vhigh,low,5more,more,med,high,unacc
124,low,med,2,2,big,med,acc
125,low,med,3,4,small,low,acc
126,vhigh,high,5more,4,big,low,acc
127,high,high,5more,2,big,med,acc
128,low,low,4,2,med,med,acc
129,low,vhigh,3,more,big,med,unacc
130,high,low,3,4,small,med,acc
131,vhigh,low,3,4,small,med,acc
132,vhigh,med,5more,2,big,high,acc
133,low,vhigh,5more,more,small,low,acc
134,high,vhigh,4,more,big,high,acc
135,low,low,3,2,big,med,acc
136,med,high,4,2,small,med,acc
137,high,high,5more,2,small,med,acc
138,med,med,5more,more,big,med,unacc
139,vhigh,high,3,4,big,low,acc
140,high,med,2,2,big,low,acc
141,high,vhigh,5more,2,med,med,acc
142,high,high,2,2,small,low,acc
143,low,med,3,2,small,high,acc
144,vhigh,med,2,more,med,high,unacc
145,med,high,4,4,small,med,unacc
146,med,vhigh,4,2,big,high,acc
147,vhigh,high,5more,more,small,high,acc
148,low,high,4,more,med,low,acc
149,high,vhigh,5more,4,small,low,acc
150,high,med,2,more,small,high,acc
151,med,high,4,more,big,med,unacc
152,low,high,5more,4,med,med,unacc
153,med,high,4,more,small,med,unacc
154,low,vhigh,5more,4,med,high,unacc
155,vhigh,med,5more,4,small,low,acc
156,med,vhigh,4,4,med,low,acc
157,vhigh,med,2,2,small,low,acc
158,low,low,3,more,small,med,unacc
159,med,low,4,2,small,med,acc
160,med,med,2,2,small,high,acc
161,vhigh,med,5more,2,big,low,acc
162,med,high,5more,2,med,low,acc
163,low,low,5more,2,med,med,acc
164,vhigh,vhigh,3,4,big,med,acc
165,high,low,3,more,small,med,acc
166,high,high,4,more,big,low,acc
167,low,high,5more,2,small,low,acc
168,high,med,5more,2,small,med,acc
169,vhigh,low,3,4,small,high,unacc
170,med,med,2,2,med,high,acc
171,vhigh,low,2,2,small,med,acc
172,high,high,5more,2,big,high,acc
173,low,high,3,2,big,high,acc
174,low,low,2,4,med,low,acc
175,high,high,2,2,med,med,acc
176,vhigh,low,5more,2,small,high,acc
177,vhigh,high,4,4,small,med,acc
178,vhigh,high,4,more,med,med,acc
179,med,high,3,4,big,high,unacc
180,high,med,5more,4,med,low,acc
181,high,high,4,2,small,low,acc
182,low,low,5more,2,small,low,acc
183,high,low,2,4,small,med,acc
184,vhigh,vhigh,2,4,big,med,acc
185,high,vhigh,4,4,big,med,acc
186,vhigh,med,5more,4,med,med,unacc
187,low,high,3,4,small,med,unacc
188,high,med,5more,more,small,med,acc
189,med,low,5more,4,big,low,acc
190,vhigh,vhigh,4,2,big,low,acc
191,med,vhigh,2,2,small,med,acc
192,vhigh,low,2,2,big,high,acc
193,low,vhigh,4,more,med,med,unacc
194,low,med,5more,2,small,low,acc
195,vhigh,high,2,more,med,low,acc
196,low,vhigh,5more,more,med,med,unacc
197,high,med,3,4,small,high,unacc
198,low,vhigh,3,2,small,med,acc
199,med,high,5more,4,small,med,unacc
200,med,vhigh,5more,4,med,high,unacc
201,vhigh,high,5more,2,med,low,acc
202,med,high,4,more,big,low,acc
203,med,med,3,2,med,med,acc
204,med,high,4,2,small,low,acc
205,med,med,5more,4,small,high,unacc
206,vhigh,vhigh,2,2,small,high,acc
207,med,high,3,4,big,med,unacc
208,low,high,2,4,big,low,acc
209,high,vhigh,4,2,small,low,acc
210,high,low,3,2,big,med,acc
211,vhigh,vhigh,5more,2,big,high,acc
212,med,low,5more,2,small,high,acc
213,high,low,2,more,med,high,unacc
214,med,high,3,more,big,low,acc
215,vhigh,vhigh,4,more,small,low,acc
216,low,vhigh,4,4,small,low,acc
217,vhigh,high,4,4,small,high,acc
218,high,low,2,more,big,low,acc
219,low,vhigh,4,more,med,low,acc
220,vhigh,med,2,more,med,med,acc
221,high,med,3,4,med,low,acc
222,vhigh,low,4,more,small,low,acc
223,vhigh,med,4,2,med,med,acc
224,high,low,5more,2,big,med,acc
225,vhigh,vhigh,2,more,small,med,acc
226,low,vhigh,5more,2,med,low,acc
227,high,vhigh,5more,4,med,high,acc
228,low,high,2,more,big,low,acc
229,high,low,4,more,small,high,unacc
230,med,high,2,2,med,med,acc
231,high,vhigh,3,2,med,med,acc
232,med,med,5more,2,small,med,acc
233,med,high,3,4,big,low,acc
234,low,high,4,2,med,med,acc
235,high,med,4,4,small,low,acc
236,vhigh,low,4,more,big,med,unacc
237,vhigh,low,4,more,med,high,unacc
238,vhigh,low,4,4,med,med,unacc
239,vhigh,low,2,2,big,med,acc
240,vhigh,vhigh,3,more,big,med,acc
241,low,high,2,more,med,low,acc
242,med,high,5more,more,big,high,unacc
243,high,vhigh,4,2,med,high,acc
244,med,med,5more,4,med,low,acc
245,low,med,5more,more,small,low,acc
246,vhigh,med,3,2,big,high,acc
247,med,vhigh,2,4,small,med,acc
248,low,med,2,more,big,low,acc
249,vhigh,high,3,2,med,med,acc
250,vhigh,med,5more,4,big,high,unacc
251,med,vhigh,3,more,med,high,unacc
252,med,vhigh,5more,2,med,high,acc
253,med,low,2,4,small,med,unacc
254,high,med,2,more,med,low,acc
255,high,vhigh,3,4,med,high,acc
256,vhigh,med,4,more,med,low,acc
257,high,vhigh,5more,2,big,high,acc
258,high,low,5more,2,big,high,acc
259,vhigh,high,4,2,big,low,acc
260,vhigh,vhigh,5more,more,big,med,acc
261,med,low,2,2,small,low,acc
262,high,low,3,4,small,low,acc
263,vhigh,vhigh,3,4,med,high,acc
264,low,high,3,4,small,high,unacc
265,low,med,3,2,med,low,acc
266,med,vhigh,4,2,small,low,acc
267,vhigh,vhigh,3,more,big,high,acc
268,low,vhigh,2,more,small,low,acc
269,med,vhigh,3,4,med,med,unacc
270,high,med,2,2,med,med,acc
271,med,low,3,2,med,low,acc
272,med,high,3,more,big,high,unacc
273,vhigh,low,3,2,big,high,acc
274,high,vhigh,3,4,med,low,acc
275,vhigh,vhigh,2,2,big,med,acc
276,med,vhigh,5more,more,med,med,unacc
277,high,low,2,more,small,med,acc
278,med,vhigh,5more,more,small,med,acc
279,med,vhigh,2,2,small,low,acc
280,vhigh,low,4,2,med,med,acc
281,med,high,5more,2,med,med,acc
282,vhigh,low,2,more,big,low,acc
283,vhigh,vhigh,4,more,med,high,acc
284,high,low,4,4,med,low,acc
285,low,vhigh,5more,2,big,low,acc
286,med,vhigh,5more,more,small,high,unacc
287,vhigh,med,3,more,big,med,unacc
288,med,med,2,2,small,low,acc
289,high,vhigh,2,more,med,med,acc
290,vhigh,low,5more,2,big,med,acc
291,high,high,5more,2,small,high,acc
292,vhigh,med,3,4,small,high,unacc
293,med,high,4,2,small,high,acc
294,low,high,3,4,big,low,acc
295,low,vhigh,4,more,small,low,acc
296,low,high,4,2,med,high,acc
297,vhigh,low,4,2,big,med,acc
298,low,med,2,more,med,med,unacc
299,low,high,2,2,small,high,acc
300,high,vhigh,2,more,med,low,acc
301,low,med,4,2,big,high,acc
302,high,low,2,more,med,med,acc
303,high,low,2,4,big,low,acc
304,low,high,2,more,big,med,unacc
305,low,vhigh,4,4,big,med,unacc
306,vhigh,med,4,2,small,low,acc
307,med,low,4,2,big,low,acc
308,high,med,2,2,big,high,acc
309,low,med,3,2,big,med,acc
310,med,med,5more,4,big,med,unacc
311,vhigh,med,3,4,med,low,acc
312,low,vhigh,3,4,small,low,acc
313,med,low,3,2,big,high,acc
314,high,vhigh,4,2,small,med,acc
315,high,vhigh,4,2,med,med,acc
316,low,vhigh,3,more,small,med,acc
317,high,vhigh,5more,2,big,med,acc
318,vhigh,vhigh,4,2,small,high,acc
319,low,high,3,more,small,high,unacc
320,high,vhigh,5more,4,small,high,acc
321,med,high,5more,4,big,low,acc
322,med,vhigh,3,4,med,high,unacc
