,buying,maint,doors,persons,lug_boot,safety,predict
170,low,vhigh,2,4,med,med,acc
184,high,high,5more,more,med,med,acc
105,vhigh,med,4,4,big,high,acc
670,med,vhigh,2,more,med,low,acc
875,low,med,3,2,small,med,acc
938,med,med,3,more,small,low,acc
34,low,vhigh,4,2,small,low,acc
779,high,med,4,more,big,low,acc
814,med,high,2,2,big,low,acc
301,vhigh,low,3,4,big,low,acc
417,vhigh,med,2,more,big,high,unacc
266,vhigh,vhigh,4,2,med,high,acc
62,high,med,5more,more,med,med,acc
667,high,low,4,2,small,med,acc
857,high,high,2,more,small,low,acc
560,high,low,5more,2,small,med,acc
856,high,vhigh,2,2,small,med,acc
652,high,low,2,2,small,high,acc
987,vhigh,high,3,2,med,high,acc
583,low,vhigh,5more,more,med,low,acc
651,med,med,3,4,big,low,acc
834,med,high,3,2,big,high,acc
592,med,high,3,2,med,med,acc
464,vhigh,low,5more,4,med,low,acc
851,med,med,5more,more,small,high,unacc
220,vhigh,high,4,2,med,high,acc
1021,vhigh,med,4,2,small,high,acc
232,vhigh,med,3,more,med,med,acc
945,med,vhigh,3,4,big,high,unacc
609,med,high,2,2,med,high,acc
377,vhigh,vhigh,3,4,med,low,acc
451,med,med,2,more,med,low,acc
1114,low,low,5more,4,small,low,acc
961,med,high,3,2,med,high,acc
237,med,vhigh,2,more,big,med,acc
666,med,vhigh,4,4,big,med,unacc
998,low,vhigh,2,4,small,high,acc
387,low,low,3,4,small,med,unacc
997,low,vhigh,4,2,big,high,acc
552,high,low,2,4,small,low,acc
374,high,med,3,4,med,med,acc
452,med,vhigh,3,4,big,low,acc
704,low,vhigh,4,4,small,high,acc
1046,med,high,4,4,big,high,unacc
90,low,low,3,4,med,low,acc
1070,low,vhigh,3,4,big,high,unacc
565,med,high,2,more,small,high,acc
1019,low,high,2,2,big,low,acc
971,high,med,4,more,big,high,unacc
629,vhigh,high,2,4,big,med,acc
256,vhigh,low,5more,more,med,med,acc
363,med,high,3,4,small,low,acc
84,vhigh,vhigh,4,2,small,low,acc
660,high,vhigh,3,more,med,med,acc
293,med,med,3,2,med,low,acc
145,vhigh,low,4,2,small,high,acc
72,vhigh,vhigh,4,more,med,med,acc
306,med,med,5more,more,med,med,unacc
449,med,vhigh,5more,more,med,low,acc
14,med,low,5more,2,big,low,acc
269,vhigh,vhigh,5more,2,small,med,acc
512,high,med,2,more,big,high,unacc
990,high,low,5more,4,med,med,acc
915,med,vhigh,2,4,big,high,unacc
396,low,vhigh,4,2,med,med,acc
993,vhigh,vhigh,2,4,big,high,acc
805,high,high,2,4,small,med,acc
863,vhigh,low,2,more,small,high,acc
28,med,high,5more,2,small,high,acc
619,med,vhigh,4,4,big,high,unacc
716,high,vhigh,2,2,big,high,acc
201,high,high,2,4,big,low,acc
434,med,high,3,2,big,med,acc
654,med,vhigh,4,2,med,low,acc
187,low,low,4,2,med,high,acc
502,vhigh,low,2,more,med,med,acc
40,high,vhigh,3,4,small,low,acc
159,high,med,4,2,small,low,acc
850,med,vhigh,3,2,med,med,acc
246,high,vhigh,4,more,small,high,acc
836,high,low,5more,2,med,high,acc
792,high,med,5more,more,small,low,acc
1028,vhigh,low,2,4,small,low,acc
829,vhigh,high,2,4,small,med,acc
910,high,med,5more,4,small,high,unacc
297,med,high,5more,4,med,low,acc
1084,med,med,3,more,big,low,acc
973,vhigh,high,4,4,small,low,acc
1022,high,low,4,more,med,low,acc
403,vhigh,vhigh,3,2,big,high,acc
754,low,low,2,more,big,low,acc
364,vhigh,low,2,2,small,low,acc
416,high,vhigh,2,2,med,low,acc
100,vhigh,vhigh,4,2,big,med,acc
234,med,vhigh,3,more,med,med,acc
781,vhigh,vhigh,5more,2,big,low,acc
223,high,med,2,more,small,med,acc
718,med,med,4,4,med,med,acc
60,med,high,2,more,med,low,acc
1086,med,high,4,2,big,low,acc
581,med,vhigh,4,4,small,high,acc
765,low,med,4,2,big,low,acc
117,med,med,4,2,med,high,acc
563,med,med,3,more,big,med,unacc
658,med,high,3,4,med,low,acc
161,vhigh,low,3,4,med,low,acc
767,high,med,2,more,med,med,acc
413,high,low,4,4,small,med,acc
1102,low,high,5more,2,small,high,acc
91,med,med,5more,more,small,med,unacc
639,high,high,2,4,small,high,acc
693,med,vhigh,2,4,med,med,acc
183,vhigh,low,3,more,med,med,acc
1045,med,low,5more,2,small,low,acc
474,vhigh,high,4,more,big,low,acc
0,high,low,5more,2,med,med,acc
258,low,med,4,2,small,low,acc
176,high,high,2,more,med,high,acc
360,high,med,4,more,big,med,unacc
710,low,high,4,2,small,med,acc
669,med,high,4,4,small,high,unacc
320,low,low,4,2,small,high,acc
143,vhigh,vhigh,5more,4,big,high,acc
802,high,med,3,more,med,low,acc
668,med,low,5more,more,med,low,acc
46,med,high,2,4,small,low,acc
384,high,low,5more,more,big,low,acc
568,med,med,5more,more,small,low,acc
203,med,med,2,4,big,low,acc
144,low,low,5more,2,big,low,acc
120,low,med,5more,2,big,med,acc
637,vhigh,high,3,4,med,med,acc
386,low,high,5more,2,big,high,acc
233,high,med,2,4,med,med,acc
519,med,high,4,more,small,low,acc
985,high,high,4,4,med,high,unacc
701,med,vhigh,3,4,small,low,acc
467,vhigh,low,3,4,big,med,acc
903,high,vhigh,4,4,med,med,acc
251,low,vhigh,2,more,small,med,acc
790,vhigh,low,5more,4,small,med,acc
756,low,low,2,2,small,high,acc
730,vhigh,med,3,more,big,low,acc
75,high,low,3,more,small,low,acc
917,vhigh,med,5more,more,big,low,acc
109,vhigh,vhigh,4,more,med,low,acc
895,vhigh,low,5more,more,small,high,unacc
1036,med,med,4,4,small,med,acc
1014,med,low,2,more,small,med,acc
490,vhigh,low,3,2,small,high,acc
1112,vhigh,high,3,more,med,low,acc
44,high,med,3,4,big,med,acc
996,high,vhigh,4,4,big,low,acc
222,vhigh,low,3,4,small,low,acc
445,high,high,3,4,big,med,acc
24,high,vhigh,3,more,big,low,acc
783,vhigh,high,2,4,big,high,acc
810,vhigh,high,5more,2,med,high,acc
867,high,med,4,2,big,med,acc
337,med,vhigh,4,more,big,low,acc
509,high,vhigh,3,4,big,low,acc
142,low,high,2,4,small,high,acc
953,med,high,5more,more,small,high,unacc
77,med,low,3,2,small,med,acc
138,med,high,3,4,med,high,unacc
395,vhigh,med,2,4,med,med,acc
324,high,med,2,4,big,low,acc
240,high,high,2,2,small,high,acc
466,vhigh,vhigh,3,4,small,high,acc
189,vhigh,med,3,more,med,high,unacc
579,vhigh,med,4,2,small,med,acc
3,low,med,3,more,med,low,acc
339,low,high,5more,4,small,high,acc
352,med,med,4,more,big,med,acc
1037,high,low,5more,4,big,low,acc
130,med,low,2,more,small,low,acc
914,vhigh,high,4,more,small,low,acc
690,low,vhigh,5more,4,med,med,acc
140,med,med,5more,2,big,high,acc
688,med,high,4,more,small,high,unacc
230,med,med,2,4,med,high,unacc
577,high,high,4,more,med,high,unacc
950,med,med,3,2,med,high,acc
422,med,med,5more,2,big,low,acc
408,high,med,5more,4,big,low,acc
679,high,vhigh,4,more,big,low,acc
388,high,high,4,4,big,high,acc
442,high,low,2,more,small,low,acc
948,low,low,4,more,small,low,acc
807,vhigh,high,3,4,big,med,acc
551,low,low,3,more,small,low,acc
1013,high,vhigh,4,more,med,med,acc
785,high,low,3,4,small,high,acc
905,low,high,3,2,big,med,acc
1054,vhigh,low,5more,4,med,med,acc
732,low,low,2,4,small,med,acc
1008,vhigh,low,3,4,med,high,unacc
249,med,high,5more,4,small,low,acc
1038,vhigh,med,3,2,med,low,acc
1020,high,med,2,4,small,med,acc
345,high,high,4,more,big,high,acc
88,med,med,3,more,small,high,unacc
456,high,vhigh,3,2,med,high,acc
978,med,med,2,more,small,low,acc
1075,high,low,5more,more,small,med,acc
962,vhigh,high,2,more,big,med,acc
27,low,high,3,4,med,med,acc
674,vhigh,low,5more,4,big,high,acc
586,med,high,4,2,med,med,acc
646,low,vhigh,2,4,small,low,acc
132,med,vhigh,2,2,small,high,acc
954,vhigh,med,5more,4,med,low,acc
1065,vhigh,high,5more,more,big,high,acc
5,med,vhigh,5more,2,big,high,acc
426,med,low,2,more,med,low,acc
188,low,low,3,4,big,low,acc
1043,low,high,5more,more,med,low,acc
543,high,high,5more,more,big,high,acc
160,vhigh,low,3,more,small,med,acc
151,vhigh,vhigh,4,4,med,low,acc
977,med,vhigh,3,more,small,high,acc
289,low,high,2,2,med,med,acc
52,low,high,3,2,small,med,acc
